,2/17/2022,2/24/2022,3/3/2022,3/10/2022,3/17/2022,3/24/2022,3/31/2022,4/7/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
SNOTEL:350_WY_SNTL,14.5,,,,,,,,,,,,,,,,,,,
SNOTEL:354_SD_SNTL,3.8,,,,,,,,,,,,,,,,,,,
SNOTEL:355_MT_SNTL,7.2,,,,,,,,,,,,,,,,,,,
SNOTEL:356_CA_SNTL,16.8,,,,,,,,,,,,,,,,,,,
SNOTEL:358_WY_SNTL,10.6,,,,,,,,,,,,,,,,,,,
SNOTEL:360_MT_SNTL,11.2,,,,,,,,,,,,,,,,,,,
SNOTEL:363_MT_SNTL,5.1,,,,,,,,,,,,,,,,,,,
SNOTEL:364_UT_SNTL,2.9,,,,,,,,,,,,,,,,,,,
SNOTEL:365_MT_SNTL,10.6,,,,,,,,,,,,,,,,,,,
SNOTEL:366_UT_SNTL,11.6,,,,,,,,,,,,,,,,,,,
SNOTEL:368_UT_SNTL,13.4,,,,,,,,,,,,,,,,,,,
SNOTEL:370_ID_SNTL,17.8,,,,,,,,,,,,,,,,,,,
SNOTEL:372_AZ_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:373_NV_SNTL,7.4,,,,,,,,,,,,,,,,,,,
SNOTEL:375_WA_SNTL,18.9,,,,,,,,,,,,,,,,,,,
SNOTEL:376_WA_SNTL,16.5,,,,,,,,,,,,,,,,,,,
SNOTEL:377_WY_SNTL,7.5,,,,,,,,,,,,,,,,,,,
SNOTEL:379_WY_SNTL,5.9,,,,,,,,,,,,,,,,,,,
SNOTEL:380_CO_SNTL,10.2,,,,,,,,,,,,,,,,,,,
SNOTEL:381_MT_SNTL,6.2,,,,,,,,,,,,,,,,,,,
SNOTEL:385_MT_SNTL,17.7,,,,,,,,,,,,,,,,,,,
SNOTEL:386_CO_SNTL,8.6,,,,,,,,,,,,,,,,,,,
SNOTEL:387_CO_SNTL,7.2,,,,,,,,,,,,,,,,,,,
SNOTEL:388_OR_SNTL,18.3,,,,,,,,,,,,,,,,,,,
SNOTEL:389_WY_SNTL,7.1,,,,,,,,,,,,,,,,,,,
SNOTEL:390_UT_SNTL,6.8,,,,,,,,,,,,,,,,,,,
SNOTEL:392_UT_SNTL,13.1,,,,,,,,,,,,,,,,,,,
SNOTEL:393_UT_SNTL,10.4,,,,,,,,,,,,,,,,,,,
SNOTEL:396_UT_SNTL,8.2,,,,,,,,,,,,,,,,,,,
SNOTEL:397_WY_SNTL,,,,,,,,,,,,,,,,,,,,
SNOTEL:398_OR_SNTL,13.7,,,,,,,,,,,,,,,,,,,
SNOTEL:399_UT_SNTL,10,,,,,,,,,,,,,,,,,,,
SNOTEL:401_OR_SNTL,10.7,,,,,,,,,,,,,,,,,,,
SNOTEL:402_WY_SNTL,9.6,,,,,,,,,,,,,,,,,,,
SNOTEL:403_MT_SNTL,8.5,,,,,,,,,,,,,,,,,,,
SNOTEL:406_OR_SNTL,11.5,,,,,,,,,,,,,,,,,,,
