,4/07/2022,4/14/2022,4/21/2022,4/28/2022,5/5/2022,5/12/2022,5/19/2022,5/26/2022,6/2/2022,6/9/2022,6/16/2022,6/23/2022,6/30/2022
CDEC:HIG,0.5,,,,,,,,,,,,
CDEC:HMB,1.1,,,,,,,,,,,,
CDEC:HNT,4.3,,,,,,,,,,,,
CDEC:HOR,4.3,,,,,,,,,,,,
CDEC:HRK,0.2,,,,,,,,,,,,
CDEC:HRS,,,,,,,,,,,,,
CDEC:HVN,7,,,,,,,,,,,,
CDEC:HYS,14.8,,,,,,,,,,,,
CDEC:IDC,3.6,,,,,,,,,,,,
CDEC:IDP,33.9,,,,,,,,,,,,
CDEC:INN,0.5,,,,,,,,,,,,
CDEC:KTL,2.8,,,,,,,,,,,,
CDEC:LBD,5.9,,,,,,,,,,,,
CDEC:LLP,,,,,,,,,,,,,
CDEC:LVM,0,,,,,,,,,,,,
CDEC:LVT,39.8,,,,,,,,,,,,
CDEC:MDW,23.7,,,,,,,,,,,,
CDEC:MED,6.1,,,,,,,,,,,,
CDEC:MHP,25.1,,,,,,,,,,,,
CDEC:MNT,4.3,,,,,,,,,,,,
CDEC:MRL,13.5,,,,,,,,,,,,
CDEC:MSK,22.6,,,,,,,,,,,,
CDEC:MTM,,,,,,,,,,,,,
CDEC:PDS,12.2,,,,,,,,,,,,
CDEC:PET,0.8,,,,,,,,,,,,
CDEC:PSC,,,,,,,,,,,,,
CDEC:PSN,9.7,,,,,,,,,,,,
CDEC:QUA,1.4,,,,,,,,,,,,
CDEC:RBP,0,,,,,,,,,,,,
CDEC:RCC,12.3,,,,,,,,,,,,
CDEC:RCK,0,,,,,,,,,,,,
CDEC:RP2,11.6,,,,,,,,,,,,
CDEC:RRM,,,,,,,,,,,,,
CDEC:RTL,0,,,,,,,,,,,,
CDEC:SCN,,,,,,,,,,,,,
CDEC:SCT,0.4,,,,,,,,,,,,
CDEC:SDF,1,,,,,,,,,,,,
CDEC:SDW,8.3,,,,,,,,,,,,
CDEC:SHM,,,,,,,,,,,,,
CDEC:SIL,2.2,,,,,,,,,,,,
CDEC:SLM,15.2,,,,,,,,,,,,
CDEC:SLT,3,,,,,,,,,,,,
CDEC:SPS,12.7,,,,,,,,,,,,
CDEC:SPT,,,,,,,,,,,,,
CDEC:SQV,11.4,,,,,,,,,,,,
CDEC:SSM,46.8,,,,,,,,,,,,
CDEC:SWM,7.6,,,,,,,,,,,,
CDEC:TCC,0,,,,,,,,,,,,
CDEC:TK2,0.8,,,,,,,,,,,,
CDEC:TMR,0.2,,,,,,,,,,,,
CDEC:TNY,11.9,,,,,,,,,,,,
CDEC:TUM,0.2,,,,,,,,,,,,
CDEC:UBC,11.7,,,,,,,,,,,,
CDEC:UTY,,,,,,,,,,,,,
CDEC:VLC,,,,,,,,,,,,,
CDEC:VRG,9.6,,,,,,,,,,,,
CDEC:VVL,13.8,,,,,,,,,,,,
CDEC:WC3,13.9,,,,,,,,,,,,
CDEC:WHW,,,,,,,,,,,,,
CDEC:WTM,,,,,,,,,,,,,
CDEC:WWC,,,,,,,,,,,,,
SNOTEL:1000_OR_SNTL,20.2,,,,,,,,,,,,
SNOTEL:1004_WA_SNTL,,,,,,,,,,,,,
SNOTEL:1005_CO_SNTL,11.3,,,,,,,,,,,,
SNOTEL:1007_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1009_MT_SNTL,6.1,,,,,,,,,,,,
SNOTEL:1010_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:1011_WA_SNTL,53.7,,,,,,,,,,,,
SNOTEL:1012_WA_SNTL,66.2,,,,,,,,,,,,
SNOTEL:1013_UT_SNTL,9.7,,,,,,,,,,,,
SNOTEL:1014_CO_SNTL,9.2,,,,,,,,,,,,
SNOTEL:1015_WY_SNTL,11.3,,,,,,,,,,,,
SNOTEL:1016_ID_SNTL,0,,,,,,,,,,,,
SNOTEL:1017_NM_SNTL,4.8,,,,,,,,,,,,
SNOTEL:1018_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1019_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1020_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1021_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1022_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1023_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1024_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1025_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1027_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1028_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1029_OR_SNTL,,,,,,,,,,,,,
SNOTEL:1030_CO_SNTL,19.2,,,,,,,,,,,,
SNOTEL:1031_CO_SNTL,20.9,,,,,,,,,,,,
SNOTEL:1032_CO_SNTL,9.4,,,,,,,,,,,,
SNOTEL:1033_CO_SNTL,21.3,,,,,,,,,,,,
SNOTEL:1034_NM_SNTL,0.1,,,,,,,,,,,,
SNOTEL:1038_ID_SNTL,,,,,,,,,,,,,
SNOTEL:1039_UT_SNTL,7,,,,,,,,,,,,
SNOTEL:1040_CO_SNTL,15.1,,,,,,,,,,,,
SNOTEL:1043_WA_SNTL,7.1,,,,,,,,,,,,
SNOTEL:1044_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:1045_WY_SNTL,4.6,,,,,,,,,,,,
SNOTEL:1046_WY_SNTL,17.2,,,,,,,,,,,,
SNOTEL:1048_NM_SNTL,0,,,,,,,,,,,,
SNOTEL:1050_CA_SNTL,4.3,,,,,,,,,,,,
SNOTEL:1051_CA_SNTL,7.5,,,,,,,,,,,,
SNOTEL:1052_CA_SNTL,8.2,,,,,,,,,,,,
SNOTEL:1053_ID_SNTL,0,,,,,,,,,,,,
SNOTEL:1054_UT_SNTL,6.4,,,,,,,,,,,,
SNOTEL:1058_CO_SNTL,1.7,,,,,,,,,,,,
SNOTEL:1061_CO_SNTL,8.8,,,,,,,,,,,,
SNOTEL:1065_UT_SNTL,0.2,,,,,,,,,,,,
SNOTEL:1066_UT_SNTL,0.9,,,,,,,,,,,,
SNOTEL:1067_CA_SNTL,9.6,,,,,,,,,,,,
SNOTEL:1068_WA_SNTL,30.5,,,,,,,,,,,,
SNOTEL:1077_OR_SNTL,4.2,,,,,,,,,,,,
SNOTEL:1079_OR_SNTL,31.2,,,,,,,,,,,,
SNOTEL:1082_WY_SNTL,29.2,,,,,,,,,,,,
SNOTEL:1084_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:1085_WA_SNTL,49.9,,,,,,,,,,,,
SNOTEL:1098_UT_SNTL,21.7,,,,,,,,,,,,
SNOTEL:1099_UT_SNTL,8.9,,,,,,,,,,,,
SNOTEL:1100_CO_SNTL,11.5,,,,,,,,,,,,
SNOTEL:1101_CO_SNTL,15.3,,,,,,,,,,,,
SNOTEL:1104_WA_SNTL,0,,,,,,,,,,,,
SNOTEL:1105_MT_SNTL,5.2,,,,,,,,,,,,
SNOTEL:1107_WA_SNTL,49.9,,,,,,,,,,,,
SNOTEL:1109_WA_SNTL,0.1,,,,,,,,,,,,
SNOTEL:1110_NV_SNTL,0,,,,,,,,,,,,
SNOTEL:1111_NV_SNTL,0,,,,,,,,,,,,
SNOTEL:1113_UT_SNTL,2.4,,,,,,,,,,,,
SNOTEL:1114_UT_SNTL,14.8,,,,,,,,,,,,
SNOTEL:1115_UT_SNTL,12.5,,,,,,,,,,,,
SNOTEL:1119_WY_SNTL,26.8,,,,,,,,,,,,
SNOTEL:1120_CO_SNTL,22.3,,,,,,,,,,,,
SNOTEL:1121_AZ_SNTL,0,,,,,,,,,,,,
SNOTEL:1122_CO_SNTL,10.6,,,,,,,,,,,,
SNOTEL:1123_CO_SNTL,,,,,,,,,,,,,
SNOTEL:1124_CO_SNTL,5.2,,,,,,,,,,,,
SNOTEL:1127_AZ_SNTL,0,,,,,,,,,,,,
SNOTEL:1128_CO_SNTL,8.3,,,,,,,,,,,,
SNOTEL:1129_WA_SNTL,2.7,,,,,,,,,,,,
SNOTEL:1131_WY_SNTL,8.4,,,,,,,,,,,,
SNOTEL:1132_WY_SNTL,3.3,,,,,,,,,,,,
SNOTEL:1133_WY_SNTL,,,,,,,,,,,,,
SNOTEL:1134_WY_SNTL,,,,,,,,,,,,,
SNOTEL:1135_UT_SNTL,4.5,,,,,,,,,,,,
SNOTEL:1136_NV_SNTL,9.6,,,,,,,,,,,,
SNOTEL:1138_NM_SNTL,0.1,,,,,,,,,,,,
SNOTEL:1139_AZ_SNTL,0.3,,,,,,,,,,,,
SNOTEL:1140_AZ_SNTL,6.4,,,,,,,,,,,,
SNOTEL:1141_CO_SNTL,15.8,,,,,,,,,,,,
SNOTEL:1143_AZ_SNTL,2.8,,,,,,,,,,,,
SNOTEL:1144_MT_SNTL,8.6,,,,,,,,,,,,
SNOTEL:1146_UT_SNTL,0.6,,,,,,,,,,,,
SNOTEL:1147_NV_SNTL,12.7,,,,,,,,,,,,
SNOTEL:1148_UT_SNTL,0,,,,,,,,,,,,
SNOTEL:1149_UT_SNTL,7,,,,,,,,,,,,
SNOTEL:1150_NV_SNTL,2.3,,,,,,,,,,,,
SNOTEL:1152_NV_SNTL,8.1,,,,,,,,,,,,
SNOTEL:1154_UT_SNTL,15,,,,,,,,,,,,
SNOTEL:1155_NV_SNTL,0.2,,,,,,,,,,,,
SNOTEL:1156_UT_SNTL,1.1,,,,,,,,,,,,
SNOTEL:1157_WA_SNTL,,,,,,,,,,,,,
SNOTEL:1159_WA_SNTL,5,,,,,,,,,,,,
SNOTEL:1160_CO_SNTL,11.6,,,,,,,,,,,,
SNOTEL:1161_CO_SNTL,,,,,,,,,,,,,
SNOTEL:1162_UT_SNTL,7.3,,,,,,,,,,,,
SNOTEL:1166_OR_SNTL,39.3,,,,,,,,,,,,
SNOTEL:1167_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:1168_NM_SNTL,16.7,,,,,,,,,,,,
SNOTEL:1169_NM_SNTL,2.2,,,,,,,,,,,,
SNOTEL:1170_NM_SNTL,0.3,,,,,,,,,,,,
SNOTEL:1171_WA_SNTL,26.1,,,,,,,,,,,,
SNOTEL:1172_NM_SNTL,6.8,,,,,,,,,,,,
SNOTEL:1184_UT_SNTL,6.9,,,,,,,,,,,,
SNOTEL:1185_CO_SNTL,22.8,,,,,,,,,,,,
SNOTEL:1186_CO_SNTL,17.5,,,,,,,,,,,,
SNOTEL:1187_CO_SNTL,20.2,,,,,,,,,,,,
SNOTEL:1192_UT_SNTL,11.5,,,,,,,,,,,,
SNOTEL:1195_NV_SNTL,0,,,,,,,,,,,,
SNOTEL:1196_WY_SNTL,28.6,,,,,,,,,,,,
SNOTEL:1197_UT_SNTL,2.1,,,,,,,,,,,,
SNOTEL:1202_NV_SNTL,,,,,,,,,,,,,
SNOTEL:1203_NV_SNTL,,,,,,,,,,,,,
SNOTEL:1205_NV_SNTL,,,,,,,,,,,,,
SNOTEL:1206_NV_SNTL,,,,,,,,,,,,,
SNOTEL:1209_NV_SNTL,,,,,,,,,,,,,
SNOTEL:1213_NV_SNTL,,,,,,,,,,,,,
SNOTEL:1214_UT_SNTL,0,,,,,,,,,,,,
SNOTEL:1215_UT_SNTL,4,,,,,,,,,,,,
SNOTEL:1216_UT_SNTL,20.1,,,,,,,,,,,,
SNOTEL:1222_UT_SNTL,23,,,,,,,,,,,,
SNOTEL:1223_UT_SNTL,4.6,,,,,,,,,,,,
SNOTEL:1224_UT_SNTL,22.8,,,,,,,,,,,,
SNOTEL:1225_UT_SNTL,11.3,,,,,,,,,,,,
SNOTEL:1226_UT_SNTL,12.8,,,,,,,,,,,,
SNOTEL:1227_UT_SNTL,7.4,,,,,,,,,,,,
SNOTEL:1228_UT_SNTL,6.2,,,,,,,,,,,,
SNOTEL:1231_WA_SNTL,4.5,,,,,,,,,,,,
SNOTEL:1236_UT_SNTL,4.4,,,,,,,,,,,,
SNOTEL:1242_NV_SNTL,0,,,,,,,,,,,,
SNOTEL:1243_NV_SNTL,0,,,,,,,,,,,,
SNOTEL:1244_NV_SNTL,0.9,,,,,,,,,,,,
SNOTEL:1247_UT_SNTL,11.4,,,,,,,,,,,,
SNOTEL:1248_UT_SNTL,3,,,,,,,,,,,,
SNOTEL:1249_UT_SNTL,12.4,,,,,,,,,,,,
SNOTEL:1251_CO_SNTL,23.3,,,,,,,,,,,,
SNOTEL:1252_CO_SNTL,16.6,,,,,,,,,,,,
SNOTEL:1254_NM_SNTL,11.3,,,,,,,,,,,,
SNOTEL:1256_WA_SNTL,0.9,,,,,,,,,,,,
SNOTEL:1257_WA_SNTL,37.1,,,,,,,,,,,,
SNOTEL:1258_CA_SNTL,0,,,,,,,,,,,,
SNOTEL:1259_WA_SNTL,0,,,,,,,,,,,,
SNOTEL:1261_UT_SNTL,3.6,,,,,,,,,,,,
SNOTEL:1262_NV_SNTL,0,,,,,,,,,,,,
SNOTEL:1263_WA_SNTL,30.5,,,,,,,,,,,,
SNOTEL:1269_UT_SNTL,0,,,,,,,,,,,,
SNOTEL:1271_AZ_SNTL,5.5,,,,,,,,,,,,
SNOTEL:1272_NV_SNTL,,,,,,,,,,,,,
SNOTEL:1276_ID_SNTL,,,,,,,,,,,,,
SNOTEL:1277_CA_SNTL,0.2,,,,,,,,,,,,
SNOTEL:1278_UT_SNTL,10.8,,,,,,,,,,,,
SNOTEL:1280_UT_SNTL,12.2,,,,,,,,,,,,
SNOTEL:1286_MT_SNTL,29.3,,,,,,,,,,,,
SNOTEL:1287_MT_SNTL,10.6,,,,,,,,,,,,
SNOTEL:2029_ID_SNTL,,,,,,,,,,,,,
SNOTEL:246_CA_SNTL,,,,,,,,,,,,,
SNOTEL:247_CO_SNTL,,,,,,,,,,,,,
SNOTEL:248_CO_SNTL,,,,,,,,,,,,,
SNOTEL:249_CO_SNTL,,,,,,,,,,,,,
SNOTEL:250_CO_SNTL,,,,,,,,,,,,,
SNOTEL:251_ID_SNTL,,,,,,,,,,,,,
SNOTEL:252_MT_SNTL,,,,,,,,,,,,,
SNOTEL:253_MT_SNTL,,,,,,,,,,,,,
SNOTEL:254_MT_SNTL,,,,,,,,,,,,,
SNOTEL:255_MT_SNTL,,,,,,,,,,,,,
SNOTEL:256_MT_SNTL,,,,,,,,,,,,,
SNOTEL:257_NV_SNTL,,,,,,,,,,,,,
SNOTEL:258_NV_SNTL,,,,,,,,,,,,,
SNOTEL:259_OR_SNTL,,,,,,,,,,,,,
SNOTEL:261_UT_SNTL,,,,,,,,,,,,,
SNOTEL:262_WA_SNTL,,,,,,,,,,,,,
SNOTEL:263_WA_SNTL,,,,,,,,,,,,,
SNOTEL:264_WA_SNTL,,,,,,,,,,,,,
SNOTEL:266_WY_SNTL,,,,,,,,,,,,,
SNOTEL:267_WY_SNTL,,,,,,,,,,,,,
SNOTEL:268_WY_SNTL,,,,,,,,,,,,,
SNOTEL:269_WY_SNTL,,,,,,,,,,,,,
SNOTEL:301_CA_SNTL,0,,,,,,,,,,,,
SNOTEL:302_OR_SNTL,15.2,,,,,,,,,,,,
SNOTEL:303_CO_SNTL,5.7,,,,,,,,,,,,
SNOTEL:304_OR_SNTL,11.4,,,,,,,,,,,,
SNOTEL:305_CO_SNTL,,,,,,,,,,,,,
SNOTEL:306_ID_SNTL,21,,,,,,,,,,,,
SNOTEL:308_AZ_SNTL,0,,,,,,,,,,,,
SNOTEL:311_MT_SNTL,17.2,,,,,,,,,,,,
SNOTEL:312_ID_SNTL,19.1,,,,,,,,,,,,
SNOTEL:313_MT_SNTL,12.5,,,,,,,,,,,,
SNOTEL:316_NM_SNTL,5.8,,,,,,,,,,,,
SNOTEL:317_WY_SNTL,6.3,,,,,,,,,,,,
SNOTEL:319_ID_SNTL,10.6,,,,,,,,,,,,
SNOTEL:320_ID_SNTL,10.7,,,,,,,,,,,,
SNOTEL:321_NV_SNTL,11.2,,,,,,,,,,,,
SNOTEL:322_CO_SNTL,16.4,,,,,,,,,,,,
SNOTEL:324_ID_SNTL,12.2,,,,,,,,,,,,
SNOTEL:325_WY_SNTL,5,,,,,,,,,,,,
SNOTEL:326_WY_SNTL,15.5,,,,,,,,,,,,
SNOTEL:327_CO_SNTL,21.8,,,,,,,,,,,,
SNOTEL:328_MT_SNTL,11.9,,,,,,,,,,,,
SNOTEL:329_UT_SNTL,3.5,,,,,,,,,,,,
SNOTEL:330_UT_SNTL,,,,,,,,,,,,,
SNOTEL:331_OR_SNTL,4.9,,,,,,,,,,,,
SNOTEL:332_UT_SNTL,15.5,,,,,,,,,,,,
SNOTEL:333_UT_SNTL,3.3,,,,,,,,,,,,
SNOTEL:334_NV_SNTL,12.5,,,,,,,,,,,,
SNOTEL:335_CO_SNTL,15.2,,,,,,,,,,,,
SNOTEL:336_NV_SNTL,0.6,,,,,,,,,,,,
SNOTEL:337_NV_SNTL,9.5,,,,,,,,,,,,
SNOTEL:338_ID_SNTL,22.6,,,,,,,,,,,,
SNOTEL:339_UT_SNTL,19.4,,,,,,,,,,,,
SNOTEL:340_NV_SNTL,13.9,,,,,,,,,,,,
SNOTEL:341_OR_SNTL,12.5,,,,,,,,,,,,
SNOTEL:342_WY_SNTL,9,,,,,,,,,,,,
SNOTEL:344_OR_SNTL,9.6,,,,,,,,,,,,
SNOTEL:345_CO_SNTL,,,,,,,,,,,,,
SNOTEL:346_MT_SNTL,6.2,,,,,,,,,,,,
SNOTEL:347_MT_SNTL,27,,,,,,,,,,,,
SNOTEL:348_UT_SNTL,4.2,,,,,,,,,,,,
SNOTEL:349_MT_SNTL,10.2,,,,,,,,,,,,
SNOTEL:350_WY_SNTL,18.1,,,,,,,,,,,,
SNOTEL:354_SD_SNTL,1.6,,,,,,,,,,,,
SNOTEL:355_MT_SNTL,10.3,,,,,,,,,,,,
SNOTEL:356_CA_SNTL,,,,,,,,,,,,,
SNOTEL:358_WY_SNTL,14.5,,,,,,,,,,,,
SNOTEL:360_MT_SNTL,14.2,,,,,,,,,,,,
SNOTEL:363_MT_SNTL,4.8,,,,,,,,,,,,
SNOTEL:364_UT_SNTL,3.9,,,,,,,,,,,,
SNOTEL:365_MT_SNTL,15.2,,,,,,,,,,,,
SNOTEL:366_UT_SNTL,14,,,,,,,,,,,,
SNOTEL:368_UT_SNTL,17,,,,,,,,,,,,
SNOTEL:370_ID_SNTL,19.4,,,,,,,,,,,,
SNOTEL:372_AZ_SNTL,,,,,,,,,,,,,
SNOTEL:373_NV_SNTL,1.3,,,,,,,,,,,,
SNOTEL:375_WA_SNTL,22.7,,,,,,,,,,,,
SNOTEL:376_WA_SNTL,22.4,,,,,,,,,,,,
SNOTEL:377_WY_SNTL,10.3,,,,,,,,,,,,
SNOTEL:379_WY_SNTL,7.6,,,,,,,,,,,,
SNOTEL:380_CO_SNTL,13.2,,,,,,,,,,,,
SNOTEL:381_MT_SNTL,2.2,,,,,,,,,,,,
SNOTEL:385_MT_SNTL,22,,,,,,,,,,,,
SNOTEL:386_CO_SNTL,4.6,,,,,,,,,,,,
SNOTEL:387_CO_SNTL,0,,,,,,,,,,,,
SNOTEL:388_OR_SNTL,20,,,,,,,,,,,,
SNOTEL:389_WY_SNTL,11.6,,,,,,,,,,,,
SNOTEL:390_UT_SNTL,7.5,,,,,,,,,,,,
SNOTEL:392_UT_SNTL,17.6,,,,,,,,,,,,
SNOTEL:393_UT_SNTL,14.8,,,,,,,,,,,,
SNOTEL:396_UT_SNTL,11.2,,,,,,,,,,,,
SNOTEL:397_WY_SNTL,,,,,,,,,,,,,
SNOTEL:398_OR_SNTL,8.9,,,,,,,,,,,,
SNOTEL:399_UT_SNTL,12.9,,,,,,,,,,,,
SNOTEL:401_OR_SNTL,8.6,,,,,,,,,,,,
SNOTEL:402_WY_SNTL,12.5,,,,,,,,,,,,
SNOTEL:403_MT_SNTL,12.3,,,,,,,,,,,,
SNOTEL:406_OR_SNTL,4.2,,,,,,,,,,,,
SNOTEL:407_MT_SNTL,12.2,,,,,,,,,,,,
SNOTEL:409_CO_SNTL,18,,,,,,,,,,,,
SNOTEL:410_MT_SNTL,0.5,,,,,,,,,,,,
SNOTEL:411_ID_SNTL,44.3,,,,,,,,,,,,
SNOTEL:412_CO_SNTL,0.9,,,,,,,,,,,,
SNOTEL:413_MT_SNTL,0.1,,,,,,,,,,,,
SNOTEL:414_MT_SNTL,26.3,,,,,,,,,,,,
SNOTEL:415_CO_SNTL,13,,,,,,,,,,,,
SNOTEL:416_AZ_SNTL,0,,,,,,,,,,,,
SNOTEL:417_NV_SNTL,12.4,,,,,,,,,,,,
SNOTEL:418_WA_SNTL,33.4,,,,,,,,,,,,
SNOTEL:419_WY_SNTL,16.1,,,,,,,,,,,,
SNOTEL:420_WA_SNTL,13.8,,,,,,,,,,,,
SNOTEL:421_WY_SNTL,,,,,,,,,,,,,
SNOTEL:422_OR_SNTL,0.9,,,,,,,,,,,,
SNOTEL:423_ID_SNTL,7.7,,,,,,,,,,,,
SNOTEL:424_ID_SNTL,7.8,,,,,,,,,,,,
SNOTEL:426_CO_SNTL,9.7,,,,,,,,,,,,
SNOTEL:428_CA_SNTL,9.1,,,,,,,,,,,,
SNOTEL:430_CO_SNTL,10,,,,,,,,,,,,
SNOTEL:431_CO_SNTL,26.4,,,,,,,,,,,,
SNOTEL:432_UT_SNTL,4.4,,,,,,,,,,,,
SNOTEL:433_MT_SNTL,6.7,,,,,,,,,,,,
SNOTEL:434_OR_SNTL,2.3,,,,,,,,,,,,
SNOTEL:436_MT_SNTL,25.7,,,,,,,,,,,,
SNOTEL:437_MT_SNTL,6.4,,,,,,,,,,,,
SNOTEL:438_CO_SNTL,18.5,,,,,,,,,,,,
SNOTEL:439_ID_SNTL,33.2,,,,,,,,,,,,
SNOTEL:441_UT_SNTL,,,,,,,,,,,,,
SNOTEL:444_UT_SNTL,5.9,,,,,,,,,,,,
SNOTEL:448_MT_SNTL,7.2,,,,,,,,,,,,
SNOTEL:449_WY_SNTL,14.6,,,,,,,,,,,,
SNOTEL:450_ID_SNTL,18.9,,,,,,,,,,,,
SNOTEL:451_WY_SNTL,11.6,,,,,,,,,,,,
SNOTEL:452_UT_SNTL,,,,,,,,,,,,,
SNOTEL:455_UT_SNTL,13,,,,,,,,,,,,
SNOTEL:457_CO_SNTL,17.6,,,,,,,,,,,,
SNOTEL:458_MT_SNTL,7.6,,,,,,,,,,,,
SNOTEL:460_WY_SNTL,6.8,,,,,,,,,,,,
SNOTEL:462_CA_SNTL,12.6,,,,,,,,,,,,
SNOTEL:463_CA_SNTL,13.9,,,,,,,,,,,,
SNOTEL:464_OR_SNTL,3.4,,,,,,,,,,,,
SNOTEL:465_CO_SNTL,11.9,,,,,,,,,,,,
SNOTEL:466_ID_SNTL,27.1,,,,,,,,,,,,
SNOTEL:467_CO_SNTL,15.6,,,,,,,,,,,,
SNOTEL:470_OR_SNTL,0,,,,,,,,,,,,
SNOTEL:472_WY_SNTL,23.6,,,,,,,,,,,,
SNOTEL:474_UT_SNTL,22.3,,,,,,,,,,,,
SNOTEL:475_UT_SNTL,19.5,,,,,,,,,,,,
SNOTEL:476_NV_SNTL,8,,,,,,,,,,,,
SNOTEL:477_OR_SNTL,,,,,,,,,,,,,
SNOTEL:478_WA_SNTL,27.4,,,,,,,,,,,,
SNOTEL:480_MT_SNTL,27,,,,,,,,,,,,
SNOTEL:481_UT_SNTL,13.7,,,,,,,,,,,,
SNOTEL:482_MT_SNTL,45.9,,,,,,,,,,,,
SNOTEL:483_OR_SNTL,13.8,,,,,,,,,,,,
SNOTEL:484_ID_SNTL,18.1,,,,,,,,,,,,
SNOTEL:485_CO_SNTL,14.4,,,,,,,,,,,,
SNOTEL:486_NM_SNTL,0.1,,,,,,,,,,,,
SNOTEL:487_MT_SNTL,6.1,,,,,,,,,,,,
SNOTEL:488_AZ_SNTL,0,,,,,,,,,,,,
SNOTEL:489_ID_SNTL,10.9,,,,,,,,,,,,
SNOTEL:490_ID_SNTL,16.5,,,,,,,,,,,,
SNOTEL:491_NM_SNTL,6.3,,,,,,,,,,,,
SNOTEL:493_ID_SNTL,4,,,,,,,,,,,,
SNOTEL:494_OR_SNTL,2.8,,,,,,,,,,,,
SNOTEL:495_UT_SNTL,2,,,,,,,,,,,,
SNOTEL:497_WY_SNTL,10.1,,,,,,,,,,,,
SNOTEL:498_NV_SNTL,12.9,,,,,,,,,,,,
SNOTEL:499_WY_SNTL,21.5,,,,,,,,,,,,
SNOTEL:500_MT_SNTL,15.2,,,,,,,,,,,,
SNOTEL:503_NV_SNTL,1.1,,,,,,,,,,,,
SNOTEL:505_CO_SNTL,15.4,,,,,,,,,,,,
SNOTEL:507_WA_SNTL,7.7,,,,,,,,,,,,
SNOTEL:508_CA_SNTL,0,,,,,,,,,,,,
SNOTEL:509_WY_SNTL,5.9,,,,,,,,,,,,
SNOTEL:510_MT_SNTL,10.3,,,,,,,,,,,,
SNOTEL:512_WY_SNTL,6,,,,,,,,,,,,
SNOTEL:514_UT_SNTL,0,,,,,,,,,,,,
SNOTEL:519_AZ_SNTL,0,,,,,,,,,,,,
SNOTEL:520_ID_SNTL,43.5,,,,,,,,,,,,
SNOTEL:521_UT_SNTL,7.4,,,,,,,,,,,,
SNOTEL:522_UT_SNTL,7.5,,,,,,,,,,,,
SNOTEL:523_OR_SNTL,18.5,,,,,,,,,,,,
SNOTEL:524_ID_SNTL,,,,,,,,,,,,,
