,location,elevation_m,Lat,Long,state,Date,SWE,Region,Prev_SWE,Delta_SWE
SNOTEL:462_CA_SNTL,Ebbetts Pass,2639.872802734375,38.54970169067383,-119.80467987060548,California,2023-03-04,56.9,S_Sierras,50.3,6.600000000000001
SNOTEL:463_CA_SNTL,Echo Peak,2332.634521484375,38.8489990234375,-120.07949829101562,California,2023-03-04,63.5,S_Sierras,55.6,7.899999999999999
SNOTEL:508_CA_SNTL,Hagans Meadow,2359.76171875,38.851898193359375,-119.9374008178711,California,2023-03-04,38.3,S_Sierras,32.3,6.0
SNOTEL:575_CA_SNTL,Leavitt Meadows,2193.950439453125,38.30366897583008,-119.55110931396484,California,2023-03-04,32.0,S_Sierras,25.2,6.800000000000001
SNOTEL:587_CA_SNTL,Lobdell Lake,2819.09521484375,38.43745040893555,-119.36572265625,California,2023-03-04,40.7,S_Sierras,35.1,5.600000000000001
SNOTEL:633_CA_SNTL,Monitor Pass,2531.668701171875,38.66830062866211,-119.60870361328124,California,2023-03-04,42.8,S_Sierras,37.1,5.699999999999996
SNOTEL:724_CA_SNTL,Rubicon #2,2322.271240234375,38.999271392822266,-120.1313934326172,California,2023-03-04,47.4,S_Sierras,39.1,8.299999999999997
SNOTEL:771_CA_SNTL,Sonora Pass,2673.095947265625,38.31021118164063,-119.60030364990234,California,2023-03-04,43.4,S_Sierras,37.5,5.899999999999999
SNOTEL:778_CA_SNTL,Spratt Creek,1848.00244140625,38.6662712097168,-119.81741333007812,California,2023-03-04,22.5,S_Sierras,18.4,4.100000000000001
SNOTEL:1082_WY_SNTL,Grand Targhee,2822.447998046875,43.77933120727539,-110.9278335571289,Wyoming,2023-03-04,35.5,Greater_Yellowstone,33.7,1.7999999999999972
SNOTEL:1105_MT_SNTL,East Boulder Mine,1930.907958984375,45.50381088256836,-110.08019256591795,Montana,2023-03-04,6.0,Greater_Yellowstone,5.5,0.5
SNOTEL:1131_WY_SNTL,Little Goose,2703.575927734375,44.54315185546875,-107.17864990234376,Wyoming,2023-03-04,8.8,Greater_Yellowstone,8.6,0.20000000000000107
SNOTEL:1132_WY_SNTL,Soldier Park,2657.85595703125,44.34846878051758,-107.01360321044922,Wyoming,2023-03-04,6.2,Greater_Yellowstone,4.6,1.6000000000000005
SNOTEL:1134_WY_SNTL,Larsen Creek,2743.199951171875,42.5801010131836,-109.08830261230467,Wyoming,2023-03-04,8.6,Greater_Yellowstone,7.6,1.0
SNOTEL:325_WY_SNTL,Bear Trap Meadow,2499.360107421875,43.887428283691406,-107.06134796142578,Wyoming,2023-03-04,7.4,Greater_Yellowstone,7.0,0.40000000000000036
SNOTEL:326_WY_SNTL,Beartooth Lake,2852.927978515625,44.94306945800781,-109.5674285888672,Wyoming,2023-03-04,14.9,Greater_Yellowstone,14.0,0.9000000000000004
SNOTEL:342_WY_SNTL,Big Sandy Opening,2767.583984375,42.64580154418945,-109.25965118408205,Wyoming,2023-03-04,11.8,Greater_Yellowstone,11.0,0.8000000000000007
SNOTEL:350_WY_SNTL,Blackwater,2980.944091796875,44.37667083740234,-109.79332733154295,Wyoming,2023-03-04,16.4,Greater_Yellowstone,15.3,1.0999999999999979
SNOTEL:358_WY_SNTL,Bone Springs Div,2849.8798828125,44.67887878417969,-107.5811004638672,Wyoming,2023-03-04,11.6,Greater_Yellowstone,10.7,0.9000000000000004
SNOTEL:363_MT_SNTL,Box Canyon,2033.0159912109373,45.27190017700195,-110.24903106689452,Montana,2023-03-04,8.8,Greater_Yellowstone,8.3,0.5
SNOTEL:377_WY_SNTL,Burgess Junction,2401.823974609375,44.78765106201172,-107.52916717529295,Wyoming,2023-03-04,10.2,Greater_Yellowstone,10.0,0.1999999999999993
SNOTEL:379_WY_SNTL,Burroughs Creek,2667.0,43.69733047485352,-109.6702117919922,Wyoming,2023-03-04,8.7,Greater_Yellowstone,8.4,0.29999999999999893
SNOTEL:402_WY_SNTL,Cloud Peak Reservoir,3005.327880859375,44.4034309387207,-107.0605697631836,Wyoming,2023-03-04,11.5,Greater_Yellowstone,11.0,0.5
SNOTEL:407_MT_SNTL,Cole Creek,2392.679931640625,45.19404983520508,-109.3454818725586,Montana,2023-03-04,8.0,Greater_Yellowstone,7.9,0.09999999999999964
SNOTEL:419_WY_SNTL,Cottonwood Creek,2337.81591796875,42.64590072631836,-110.8148193359375,Wyoming,2023-03-04,19.7,Greater_Yellowstone,18.0,1.6999999999999993
SNOTEL:451_WY_SNTL,Dome Lake,2706.6240234375,44.57461929321289,-107.29537200927734,Wyoming,2023-03-04,9.0,Greater_Yellowstone,8.0,1.0
SNOTEL:460_WY_SNTL,East Rim Divide,2417.06396484375,43.1309700012207,-110.20230102539062,Wyoming,2023-03-04,9.3,Greater_Yellowstone,8.7,0.6000000000000014
SNOTEL:472_WY_SNTL,Evening Star,2804.159912109375,44.65258026123047,-109.78421783447266,Wyoming,2023-03-04,21.6,Greater_Yellowstone,20.3,1.3000000000000007
SNOTEL:480_MT_SNTL,Fisher Creek,2773.679931640625,45.06235122680664,-109.94487762451172,Montana,2023-03-04,27.5,Greater_Yellowstone,25.5,2.0
SNOTEL:497_WY_SNTL,Granite Creek,2063.49609375,43.34297943115234,-110.43495178222656,Wyoming,2023-03-04,12.9,Greater_Yellowstone,11.7,1.200000000000001
SNOTEL:499_WY_SNTL,Grassy Lake,2214.3720703125,44.126121520996094,-110.8343505859375,Wyoming,2023-03-04,27.3,Greater_Yellowstone,25.0,2.3000000000000007
SNOTEL:512_WY_SNTL,Hansen Sawmill,2548.1279296875,44.25601959228516,-106.97982788085938,Wyoming,2023-03-04,6.6,Greater_Yellowstone,6.3,0.2999999999999998
SNOTEL:525_WY_SNTL,Hobbs Park,3078.47998046875,42.86983871459961,-109.09455108642578,Wyoming,2023-03-04,12.0,Greater_Yellowstone,11.2,0.8000000000000007
SNOTEL:555_WY_SNTL,Kendall R.S.,2359.152099609375,43.24929809570313,-110.01661682128906,Wyoming,2023-03-04,9.4,Greater_Yellowstone,8.7,0.7000000000000011
SNOTEL:560_WY_SNTL,Kirwin,2910.840087890625,43.86066818237305,-109.3216323852539,Wyoming,2023-03-04,7.8,Greater_Yellowstone,7.3,0.5
SNOTEL:577_WY_SNTL,Lewis Lake Divide,2392.679931640625,44.2086181640625,-110.6662826538086,Wyoming,2023-03-04,28.1,Greater_Yellowstone,25.5,2.6000000000000014
SNOTEL:585_WY_SNTL,Little Warm,2855.97607421875,43.50278091430664,-109.7519989013672,Wyoming,2023-03-04,8.1,Greater_Yellowstone,7.5,0.5999999999999996
SNOTEL:597_WY_SNTL,Loomis Park,2511.552001953125,43.17387008666992,-110.14006805419922,Wyoming,2023-03-04,12.1,Greater_Yellowstone,11.1,1.0
SNOTEL:616_WY_SNTL,Marquette,2670.048095703125,44.30160140991211,-109.2401885986328,Wyoming,2023-03-04,6.1,Greater_Yellowstone,6.0,0.09999999999999964
SNOTEL:625_WY_SNTL,Middle Powder,2365.248046875,43.62728118896485,-107.18138122558594,Wyoming,2023-03-04,9.4,Greater_Yellowstone,9.2,0.20000000000000107
SNOTEL:661_WY_SNTL,New Fork Lake,2542.031982421875,43.11265182495117,-109.94947052001952,Wyoming,2023-03-04,8.7,Greater_Yellowstone,8.2,0.5
SNOTEL:670_MT_SNTL,Northeast Entrance,2240.280029296875,45.00564956665039,-110.0140609741211,Montana,2023-03-04,8.0,Greater_Yellowstone,7.7,0.2999999999999998
SNOTEL:676_WY_SNTL,Owl Creek,2735.580078125,43.6586799621582,-109.00988006591795,Wyoming,2023-03-04,5.7,Greater_Yellowstone,5.4,0.2999999999999998
SNOTEL:683_WY_SNTL,Parker Peak,2865.1201171875,44.73395919799805,-109.9148406982422,Wyoming,2023-03-04,19.0,Greater_Yellowstone,18.0,1.0
SNOTEL:689_WY_SNTL,Phillips Bench,2499.360107421875,43.516868591308594,-110.91258239746094,Wyoming,2023-03-04,23.2,Greater_Yellowstone,21.1,2.099999999999998
SNOTEL:696_MT_SNTL,Placer Basin,2691.384033203125,45.41904830932617,-110.08843994140624,Montana,2023-03-04,13.5,Greater_Yellowstone,13.0,0.5
SNOTEL:730_WY_SNTL,Salt River Summit,2328.672119140625,42.50749969482422,-110.90989685058594,Wyoming,2023-03-04,15.2,Greater_Yellowstone,13.4,1.799999999999999
SNOTEL:751_WY_SNTL,Shell Creek,2919.98388671875,44.50011825561523,-107.4294662475586,Wyoming,2023-03-04,11.2,Greater_Yellowstone,10.7,0.5
SNOTEL:754_MT_SNTL,Shower Falls,2468.8798828125,45.40124893188477,-110.95758056640624,Montana,2023-03-04,17.0,Greater_Yellowstone,16.6,0.3999999999999986
SNOTEL:764_WY_SNTL,Snake River Station,2109.216064453125,44.13360977172852,-110.6691665649414,Wyoming,2023-03-04,16.2,Greater_Yellowstone,14.5,1.6999999999999993
SNOTEL:779_WY_SNTL,Spring Creek Divide,2743.199951171875,42.52516174316406,-110.66148376464844,Wyoming,2023-03-04,20.5,Greater_Yellowstone,18.6,1.8999999999999986
SNOTEL:786_WY_SNTL,St. Lawrence Alt,2627.3759765625,43.03313064575195,-109.17024993896484,Wyoming,2023-03-04,5.5,Greater_Yellowstone,5.4,0.09999999999999964
SNOTEL:798_WY_SNTL,Sucker Creek,2706.6240234375,44.72249984741211,-107.40032958984376,Wyoming,2023-03-04,11.2,Greater_Yellowstone,10.9,0.29999999999999893
SNOTEL:806_WY_SNTL,Sylvan Lake,2566.416015625,44.477638244628906,-110.15650939941406,Wyoming,2023-03-04,15.7,Greater_Yellowstone,15.0,0.6999999999999993
SNOTEL:816_WY_SNTL,Thumb Divide,2432.303955078125,44.36917114257813,-110.5771713256836,Wyoming,2023-03-04,15.7,Greater_Yellowstone,14.5,1.1999999999999993
SNOTEL:818_WY_SNTL,Tie Creek,2093.97607421875,44.81243133544922,-107.41017150878906,Wyoming,2023-03-04,8.0,Greater_Yellowstone,7.6,0.40000000000000036
SNOTEL:819_WY_SNTL,Timber Creek,2423.159912109375,44.02740097045898,-109.17878723144533,Wyoming,2023-03-04,4.4,Greater_Yellowstone,4.3,0.10000000000000053
SNOTEL:822_WY_SNTL,Togwotee Pass,2919.98388671875,43.749019622802734,-110.05780029296876,Wyoming,2023-03-04,17.8,Greater_Yellowstone,16.8,1.0
SNOTEL:826_WY_SNTL,Townsend Creek,2651.760009765625,42.69525146484375,-108.89572143554688,Wyoming,2023-03-04,9.1,Greater_Yellowstone,8.7,0.40000000000000036
SNOTEL:831_WY_SNTL,Triple Peak,2590.800048828125,42.76393127441406,-110.59140014648438,Wyoming,2023-03-04,19.3,Greater_Yellowstone,17.5,1.8000000000000007
SNOTEL:837_WY_SNTL,Two Ocean Plateau,2816.35205078125,44.15177917480469,-110.22122192382812,Wyoming,2023-03-04,24.8,Greater_Yellowstone,23.2,1.6000000000000014
SNOTEL:862_MT_SNTL,White Mill,2651.760009765625,45.04574966430664,-109.9098663330078,Montana,2023-03-04,19.8,Greater_Yellowstone,18.8,1.0
SNOTEL:868_WY_SNTL,Willow Creek,2462.783935546875,42.815128326416016,-110.83515167236328,Wyoming,2023-03-04,28.2,Greater_Yellowstone,26.0,2.1999999999999993
