,location,elevation_m,Lat,Long,state,Date,SWE,Region,Prev_SWE,Delta_SWE
CDEC:SDF,Sand Flat,2057.4,41.350239,-122.246529,California,2022-11-05,0.84,N_Sierras,0.36,0.48
CDEC:SLT,Slate Creek,1737.36,41.04398,-122.480103,California,2022-11-05,0.36,N_Sierras,3.0,-2.64
CDEC:SQV,Palisades Tahoe Snotel,2499.36,39.194,-120.276001,California,2022-11-05,0.9531111111111111,N_Sierras,0.0,0.9531111111111111
CDEC:SSM,Sunnyside Meadow,1920.24,39.698132,-120.782211,California,2022-11-05,1.45,N_Sierras,0.0,1.45
CDEC:TCC,Tahoe City Cross,2057.4,39.17144,-120.154655,California,2022-11-05,0.6,N_Sierras,0.0,0.6
CDEC:TK2,Truckee 2,1950.72,39.299999,-120.194,California,2022-11-05,1.0,N_Sierras,0.1,0.9
CDEC:WC3,Ward Creek 3,2057.4,39.135574,-120.218681,California,2022-11-05,1.5,N_Sierras,0.0,1.5
SNOTEL:1242_NV_SNTL,Little Valley,1979.06640625,39.25259017944336,-119.8770980834961,Nevada,2022-11-05,0.6,N_Sierras,0.0,0.6
SNOTEL:1258_CA_SNTL,State Line,1731.2640380859375,41.98609161376953,-120.71573638916016,California,2022-11-05,0.0,N_Sierras,0.0,0.0
SNOTEL:1277_CA_SNTL,Fredonyer Peak,2196.998291015625,40.68798828125,-120.60804748535156,California,2022-11-05,0.3,N_Sierras,0.0,0.3
SNOTEL:301_CA_SNTL,Adin Mtn,1886.7120361328125,41.2358283996582,-120.79192352294922,California,2022-11-05,1.2,N_Sierras,0.2,1.0
SNOTEL:340_NV_SNTL,Big Meadow,2510.028076171875,39.45500183105469,-119.94219970703124,Nevada,2022-11-05,0.8,N_Sierras,0.0,0.8
SNOTEL:428_CA_SNTL,Css Lab,2101.291259765625,39.32564926147461,-120.36807250976562,California,2022-11-05,1.5,N_Sierras,0.0,1.5
SNOTEL:540_CA_SNTL,Independence Creek,1961.6927490234373,39.49000930786133,-120.28225708007812,California,2022-11-05,0.8,N_Sierras,0.0,0.8
SNOTEL:541_CA_SNTL,Independence Lake,2541.42236328125,39.42752075195313,-120.31342315673828,California,2022-11-05,1.3,N_Sierras,0.0,1.3
SNOTEL:615_NV_SNTL,Marlette Lake,2403.043212890625,39.1639518737793,-119.89672088623048,Nevada,2022-11-05,0.7,N_Sierras,0.0,0.7
SNOTEL:652_NV_SNTL,Mt Rose Ski Area,2682.544921875,39.315731048583984,-119.8947296142578,Nevada,2022-11-05,1.1,N_Sierras,0.0,1.1
SNOTEL:784_CA_SNTL,Squaw Valley G.C.,2442.3623046875,39.18986129760742,-120.26576232910156,California,2022-11-05,2.1,N_Sierras,0.0,2.1
SNOTEL:809_CA_SNTL,Tahoe City Cross,2071.7255859375,39.1716194152832,-120.15361785888672,California,2022-11-05,0.5,N_Sierras,0.0,0.5
SNOTEL:834_CA_SNTL,Truckee #2,1983.9432373046875,39.30086898803711,-120.18406677246094,California,2022-11-05,0.9,N_Sierras,0.0,0.9
SNOTEL:848_CA_SNTL,Ward Creek #3,2055.8759765625,39.13544845581055,-120.2186508178711,California,2022-11-05,1.5,N_Sierras,0.0,1.5
CDEC:AGP,Agnew Pass,2880.36,37.726631,-119.141731,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:ALP,Alpha (Smud),2316.48,38.804192,-120.215652,California,2022-11-05,0.99,S_Sierras,0.0,0.99
CDEC:BCB,Blackcap Basin,3139.44,37.066685,-118.77301,California,2022-11-05,1.07,S_Sierras,0.37,0.7000000000000001
CDEC:BCH,Beach Meadows,2331.7200000000007,36.126095,-118.293457,California,2022-11-05,1.6,S_Sierras,0.6,1.0
CDEC:BGP,Big Pine Creek,2987.04,37.12781500000001,-118.476967,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:BIM,Big Meadows (Dwr),2316.48,36.715225,-118.843773,California,2022-11-05,0.78,S_Sierras,0.2013043478260869,0.5786956521739132
CDEC:BLD,Bloods Creek,2194.56,38.451256,-120.034882,California,2022-11-05,0.72,S_Sierras,0.0,0.72
CDEC:BLK,Blue Lakes,2438.4,38.612999,-119.931,California,2022-11-05,0.8,S_Sierras,0.0,0.8
CDEC:BLS,Black Springs,1981.2,38.375881,-120.195,California,2022-11-05,0.72,S_Sierras,0.0,0.72
CDEC:BSK,Burnside Lake,2477.7192,38.719398,-119.894203,California,2022-11-05,0.9,S_Sierras,0.0,0.9
CDEC:CHM,Chilkoot Meadow,2179.32,37.40839,-119.49218799999998,California,2022-11-05,0.84,S_Sierras,0.24,0.6
CDEC:CHP,Chagoopa Plateau,3139.44,36.497143,-118.446716,California,2022-11-05,0.0,S_Sierras,0.0,0.0
CDEC:CRL,Charlotte Lake,3169.92,36.777523,-118.42601,California,2022-11-05,1.28,S_Sierras,0.71,0.5700000000000001
CDEC:CSV,Casa Vieja Meadows,2529.84,36.198097,-118.267685,California,2022-11-05,0.29,S_Sierras,0.0,0.29
CDEC:CWD,Cottonwood Lakes,3093.7200000000007,36.483829,-118.177559,California,2022-11-05,0.95,S_Sierras,0.51,0.43999999999999995
CDEC:CXS,Carson Pass,2545.9944,38.692402,-120.002098,California,2022-11-05,0.8,S_Sierras,0.0,0.8
CDEC:DAN,Dana Meadows,2987.04,37.896999,-119.257004,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:DDM,Deadman Creek,2819.4,38.33159600000001,-119.654114,California,2022-11-05,0.78,S_Sierras,0.29,0.49000000000000005
CDEC:DPO,Devils Postpile,2307.0312,37.62941,-119.084671,California,2022-11-05,2.75,S_Sierras,2.08,0.6699999999999999
CDEC:EBB,Ebbetts Pass,2651.76,38.561001,-119.807999,California,2022-11-05,1.0,S_Sierras,0.0,1.0
CDEC:EP5,Echo Peak 5,2377.44,38.848999,-120.079002,California,2022-11-05,1.5,S_Sierras,0.0,1.5
CDEC:FDC,Forestdale Creek,2443.5816,38.6824,-119.959702,California,2022-11-05,1.1,S_Sierras,0.0,1.1
CDEC:FLL,Fallen Leaf Lake,1905.0,38.931999,-120.056,California,2022-11-05,1.0,S_Sierras,0.0,1.0
CDEC:FRN,Forni Ridge,2316.48,38.80397,-120.215919,California,2022-11-05,1.08,S_Sierras,0.12,0.9600000000000001
CDEC:FRW,Farewell Gap,2895.600000000001,36.415211,-118.578979,California,2022-11-05,5.07,S_Sierras,3.77,1.3000000000000003
CDEC:GEM,Gem Pass,3276.600000000001,37.779999,-119.169998,California,2022-11-05,1.01,S_Sierras,0.6,0.41000000000000003
CDEC:GIN,Gin Flat,2148.84,37.766998,-119.773003,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:GNF,Giant Forest (Usace),2026.92,36.562,-118.764999,California,2022-11-05,0.0,S_Sierras,0.0,0.0
CDEC:GNL,Gianelli Meadow,2560.32,38.20430800000001,-119.893188,California,2022-11-05,0.96,S_Sierras,0.36,0.6
CDEC:GRM,Green Mountain,2407.92,37.549599,-119.232559,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:GRV,Graveyard Meadow,2103.12,37.46344000000001,-119.292892,California,2022-11-05,0.48,S_Sierras,0.0,0.48
CDEC:HGM,Hagans Meadow,2438.4,38.853001,-119.940002,California,2022-11-05,0.9,S_Sierras,0.0,0.9
CDEC:HNT,Huntington Lake (Usbr),2133.6,37.22757,-119.220482,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:HOR,Horse Meadow (Nrcs),2608.1736,38.836498,-119.887299,California,2022-11-05,0.8,S_Sierras,0.2,0.6000000000000001
CDEC:HRS,Horse Meadow,2560.32,38.158001,-119.662003,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:HVN,Heavenly Valley,2682.24,38.929001,-119.917,California,2022-11-05,1.2,S_Sierras,0.0,1.2
CDEC:LBD,Lobdell Lake,2804.1600000000008,38.439999,-119.376999,California,2022-11-05,0.3,S_Sierras,0.0,0.3
CDEC:LVM,Leavitt Meadows,2194.56,38.305,-119.552002,California,2022-11-05,0.2,S_Sierras,0.0,0.2
CDEC:LVT,Leavitt Lake,2926.08,38.282001,-119.621002,California,2022-11-05,1.1,S_Sierras,0.2,0.9000000000000001
CDEC:MHP,Mammoth Pass (Usbr),2834.640000000001,37.6124,-119.031746,California,2022-11-05,1.2,S_Sierras,0.24,0.96
CDEC:MNT,Monitor Pass,2545.08,38.669998,-119.614998,California,2022-11-05,0.4,S_Sierras,0.0,0.4
CDEC:MTM,Mitchell Meadow,3017.52,36.737,-118.711998,California,2022-11-05,0.91,S_Sierras,0.0,0.91
CDEC:PDS,Paradise Meadow,2331.7200000000007,38.047001,-119.669998,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:PSC,Pascoes,2788.92,35.966999,-118.349998,California,2022-11-05,0.04,S_Sierras,0.0,0.04
CDEC:PSN,Poison Flat,2407.92,38.500999,-119.630997,California,2022-11-05,0.7,S_Sierras,0.1,0.6
CDEC:QUA,Quaking Aspen,2194.56,36.117508,-118.539993,California,2022-11-05,2.04,S_Sierras,1.32,0.72
CDEC:RBP,Robbs Powerhouse,1569.72,38.902382,-120.376541,California,2022-11-05,1.25,S_Sierras,0.36,0.89
CDEC:RCK,Rock Creek Lakes,2956.56,37.457275,-118.735023,California,2022-11-05,1.29,S_Sierras,0.75,0.54
CDEC:SCN,Schneiders,2667.0,38.747002,-120.068001,California,2022-11-05,1.39,S_Sierras,0.0,1.39
CDEC:SDW,Summit Meadow,2838.6024,38.397499,-119.535599,California,2022-11-05,0.5,S_Sierras,0.1,0.4
CDEC:SIL,Silver Lake,2164.08,38.679604,-120.118195,California,2022-11-05,1.37,S_Sierras,0.41,0.9600000000000002
CDEC:SLM,Stanislaus Meadow,2362.2000000000007,38.505501,-119.937302,California,2022-11-05,0.0,S_Sierras,0.0,0.0
CDEC:SPS,Sonora Pass Bridge,2667.0,38.318001,-119.600998,California,2022-11-05,0.7,S_Sierras,0.2,0.49999999999999994
CDEC:SPT,Spratt Creek,1874.52,38.666271,-119.817421,California,2022-11-05,0.2,S_Sierras,0.0,0.2
CDEC:SWM,Sawmill,3108.96,37.16196400000001,-118.562592,California,2022-11-05,0.0,S_Sierras,0.0,0.0
CDEC:TMR,Tamarack Summit,2301.24,37.16375,-119.200531,California,2022-11-05,0.84,S_Sierras,0.12,0.72
CDEC:TNY,Tenaya Lake,2484.120000000001,37.838001,-119.447998,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:TUM,Tuolumne Meadows,2621.28,37.873001,-119.349998,California,2022-11-05,0.8497142857142858,S_Sierras,0.2013043478260869,0.6484099378881989
CDEC:UBC,Upper Burnt Corral,2956.56,37.183296,-118.938293,California,2022-11-05,0.0,S_Sierras,0.0,0.0
CDEC:UTY,Upper Tyndall Creek,3474.7200000000007,36.650002,-118.397003,California,2022-11-05,0.01,S_Sierras,0.0,0.01
CDEC:VLC,Volcanic Knob,3063.24,37.38785900000001,-118.905037,California,2022-11-05,0.33,S_Sierras,0.0,0.33
CDEC:VRG,Virginia Lakes Ridge,2834.640000000001,38.077,-119.234001,California,2022-11-05,0.5,S_Sierras,0.0,0.5
CDEC:VVL,Van Vleck,2042.16,38.943947,-120.306061,California,2022-11-05,1.94,S_Sierras,0.14,1.7999999999999998
CDEC:WHW,White Wolf,2407.92,37.859501,-119.651604,California,2022-11-05,1.0,S_Sierras,0.1,0.9
CDEC:WTM,Wet Meadows,2727.96,36.348,-118.571999,California,2022-11-05,0.0,S_Sierras,0.0,0.0
CDEC:WWC,West Woodchuck Meadow,2773.6800000000007,37.029999,-118.917999,California,2022-11-05,0.0,S_Sierras,0.0,0.0
SNOTEL:1050_CA_SNTL,Horse Meadow,2608.173583984375,38.83652114868164,-119.88732147216795,California,2022-11-05,0.8,S_Sierras,0.0,0.8
SNOTEL:1051_CA_SNTL,Burnside Lake,2477.71923828125,38.71942901611328,-119.89420318603516,California,2022-11-05,0.9,S_Sierras,0.0,0.9
SNOTEL:1052_CA_SNTL,Summit Meadow,2838.602294921875,38.39746856689453,-119.53521728515624,California,2022-11-05,0.4,S_Sierras,0.0,0.4
SNOTEL:1067_CA_SNTL,Carson Pass,2548.1279296875,38.69269943237305,-120.002197265625,California,2022-11-05,0.8,S_Sierras,0.0,0.8
SNOTEL:356_CA_SNTL,Blue Lakes,2458.821533203125,38.608001708984375,-119.92436981201172,California,2022-11-05,0.8,S_Sierras,0.0,0.8
SNOTEL:462_CA_SNTL,Ebbetts Pass,2639.872802734375,38.54970169067383,-119.80467987060548,California,2022-11-05,1.0,S_Sierras,0.0,1.0
SNOTEL:463_CA_SNTL,Echo Peak,2332.634521484375,38.8489990234375,-120.07949829101562,California,2022-11-05,1.5,S_Sierras,0.0,1.5
SNOTEL:508_CA_SNTL,Hagans Meadow,2359.76171875,38.851898193359375,-119.9374008178711,California,2022-11-05,0.8,S_Sierras,0.0,0.8
SNOTEL:575_CA_SNTL,Leavitt Meadows,2193.950439453125,38.30366897583008,-119.55110931396484,California,2022-11-05,0.0,S_Sierras,0.0,0.0
SNOTEL:587_CA_SNTL,Lobdell Lake,2819.09521484375,38.43745040893555,-119.36572265625,California,2022-11-05,0.4,S_Sierras,0.0,0.4
SNOTEL:633_CA_SNTL,Monitor Pass,2531.668701171875,38.66830062866211,-119.60870361328124,California,2022-11-05,0.4,S_Sierras,0.0,0.4
SNOTEL:724_CA_SNTL,Rubicon #2,2322.271240234375,38.999271392822266,-120.1313934326172,California,2022-11-05,1.2,S_Sierras,0.0,1.2
SNOTEL:771_CA_SNTL,Sonora Pass,2673.095947265625,38.31021118164063,-119.60030364990234,California,2022-11-05,0.7,S_Sierras,0.0,0.7
SNOTEL:778_CA_SNTL,Spratt Creek,1848.00244140625,38.6662712097168,-119.81741333007812,California,2022-11-05,0.2,S_Sierras,0.0,0.2
SNOTEL:1082_WY_SNTL,Grand Targhee,2822.447998046875,43.77933120727539,-110.9278335571289,Wyoming,2022-11-05,5.4,Greater_Yellowstone,3.3,2.1000000000000005
SNOTEL:1105_MT_SNTL,East Boulder Mine,1930.907958984375,45.50381088256836,-110.08019256591795,Montana,2022-11-05,0.2,Greater_Yellowstone,0.0,0.2
SNOTEL:1131_WY_SNTL,Little Goose,2703.575927734375,44.54315185546875,-107.17864990234376,Wyoming,2022-11-05,1.2,Greater_Yellowstone,0.5,0.7
SNOTEL:1132_WY_SNTL,Soldier Park,2657.85595703125,44.34846878051758,-107.01360321044922,Wyoming,2022-11-05,0.3,Greater_Yellowstone,0.2,0.09999999999999998
SNOTEL:1134_WY_SNTL,Larsen Creek,2743.199951171875,42.5801010131836,-109.08830261230467,Wyoming,2022-11-05,0.0,Greater_Yellowstone,0.0,0.0
SNOTEL:325_WY_SNTL,Bear Trap Meadow,2499.360107421875,43.887428283691406,-107.06134796142578,Wyoming,2022-11-05,1.2,Greater_Yellowstone,0.7,0.5
SNOTEL:326_WY_SNTL,Beartooth Lake,2852.927978515625,44.94306945800781,-109.5674285888672,Wyoming,2022-11-05,2.2,Greater_Yellowstone,1.4,0.8000000000000003
SNOTEL:342_WY_SNTL,Big Sandy Opening,2767.583984375,42.64580154418945,-109.25965118408205,Wyoming,2022-11-05,1.4,Greater_Yellowstone,1.1,0.2999999999999998
SNOTEL:350_WY_SNTL,Blackwater,2980.944091796875,44.37667083740234,-109.79332733154295,Wyoming,2022-11-05,1.9,Greater_Yellowstone,0.8,1.0999999999999999
SNOTEL:358_WY_SNTL,Bone Springs Div,2849.8798828125,44.67887878417969,-107.5811004638672,Wyoming,2022-11-05,1.1,Greater_Yellowstone,0.5,0.6000000000000001
SNOTEL:363_MT_SNTL,Box Canyon,2033.0159912109373,45.27190017700195,-110.24903106689452,Montana,2022-11-05,0.0,Greater_Yellowstone,0.0,0.0
SNOTEL:377_WY_SNTL,Burgess Junction,2401.823974609375,44.78765106201172,-107.52916717529295,Wyoming,2022-11-05,1.3,Greater_Yellowstone,0.7,0.6000000000000001
SNOTEL:379_WY_SNTL,Burroughs Creek,2667.0,43.69733047485352,-109.6702117919922,Wyoming,2022-11-05,0.4,Greater_Yellowstone,0.2,0.2
SNOTEL:402_WY_SNTL,Cloud Peak Reservoir,3005.327880859375,44.4034309387207,-107.0605697631836,Wyoming,2022-11-05,1.6,Greater_Yellowstone,0.9,0.7000000000000001
SNOTEL:407_MT_SNTL,Cole Creek,2392.679931640625,45.19404983520508,-109.3454818725586,Montana,2022-11-05,0.2,Greater_Yellowstone,0.0,0.2
SNOTEL:419_WY_SNTL,Cottonwood Creek,2337.81591796875,42.64590072631836,-110.8148193359375,Wyoming,2022-11-05,1.8,Greater_Yellowstone,1.2,0.6000000000000001
SNOTEL:451_WY_SNTL,Dome Lake,2706.6240234375,44.57461929321289,-107.29537200927734,Wyoming,2022-11-05,0.9,Greater_Yellowstone,0.3,0.6000000000000001
SNOTEL:460_WY_SNTL,East Rim Divide,2417.06396484375,43.1309700012207,-110.20230102539062,Wyoming,2022-11-05,0.4,Greater_Yellowstone,0.5,-0.09999999999999998
SNOTEL:472_WY_SNTL,Evening Star,2804.159912109375,44.65258026123047,-109.78421783447266,Wyoming,2022-11-05,2.0,Greater_Yellowstone,1.0,1.0
SNOTEL:480_MT_SNTL,Fisher Creek,2773.679931640625,45.06235122680664,-109.94487762451172,Montana,2022-11-05,3.0,Greater_Yellowstone,2.2,0.7999999999999998
SNOTEL:497_WY_SNTL,Granite Creek,2063.49609375,43.34297943115234,-110.43495178222656,Wyoming,2022-11-05,0.7,Greater_Yellowstone,0.5,0.19999999999999996
SNOTEL:499_WY_SNTL,Grassy Lake,2214.3720703125,44.126121520996094,-110.8343505859375,Wyoming,2022-11-05,1.5,Greater_Yellowstone,0.9,0.6
SNOTEL:512_WY_SNTL,Hansen Sawmill,2548.1279296875,44.25601959228516,-106.97982788085938,Wyoming,2022-11-05,1.1,Greater_Yellowstone,0.7,0.40000000000000013
SNOTEL:525_WY_SNTL,Hobbs Park,3078.47998046875,42.86983871459961,-109.09455108642578,Wyoming,2022-11-05,1.1,Greater_Yellowstone,0.7,0.40000000000000013
SNOTEL:555_WY_SNTL,Kendall R.S.,2359.152099609375,43.24929809570313,-110.01661682128906,Wyoming,2022-11-05,0.1,Greater_Yellowstone,0.0,0.1
SNOTEL:560_WY_SNTL,Kirwin,2910.840087890625,43.86066818237305,-109.3216323852539,Wyoming,2022-11-05,0.6,Greater_Yellowstone,0.2,0.39999999999999997
SNOTEL:577_WY_SNTL,Lewis Lake Divide,2392.679931640625,44.2086181640625,-110.6662826538086,Wyoming,2022-11-05,2.3,Greater_Yellowstone,1.3,0.9999999999999998
SNOTEL:585_WY_SNTL,Little Warm,2855.97607421875,43.50278091430664,-109.7519989013672,Wyoming,2022-11-05,1.0,Greater_Yellowstone,0.5,0.5
SNOTEL:597_WY_SNTL,Loomis Park,2511.552001953125,43.17387008666992,-110.14006805419922,Wyoming,2022-11-05,0.8,Greater_Yellowstone,0.8,0.0
SNOTEL:616_WY_SNTL,Marquette,2670.048095703125,44.30160140991211,-109.2401885986328,Wyoming,2022-11-05,0.4,Greater_Yellowstone,0.4,0.0
SNOTEL:625_WY_SNTL,Middle Powder,2365.248046875,43.62728118896485,-107.18138122558594,Wyoming,2022-11-05,1.8,Greater_Yellowstone,1.6,0.19999999999999996
SNOTEL:661_WY_SNTL,New Fork Lake,2542.031982421875,43.11265182495117,-109.94947052001952,Wyoming,2022-11-05,0.4,Greater_Yellowstone,0.4,0.0
SNOTEL:670_MT_SNTL,Northeast Entrance,2240.280029296875,45.00564956665039,-110.0140609741211,Montana,2022-11-05,0.3,Greater_Yellowstone,0.0,0.3
SNOTEL:676_WY_SNTL,Owl Creek,2735.580078125,43.6586799621582,-109.00988006591795,Wyoming,2022-11-05,1.0,Greater_Yellowstone,0.8,0.19999999999999996
SNOTEL:683_WY_SNTL,Parker Peak,2865.1201171875,44.73395919799805,-109.9148406982422,Wyoming,2022-11-05,2.1,Greater_Yellowstone,1.0,1.1
SNOTEL:689_WY_SNTL,Phillips Bench,2499.360107421875,43.516868591308594,-110.91258239746094,Wyoming,2022-11-05,1.7,Greater_Yellowstone,1.2,0.5
SNOTEL:696_MT_SNTL,Placer Basin,2691.384033203125,45.41904830932617,-110.08843994140624,Montana,2022-11-05,1.5,Greater_Yellowstone,1.3,0.19999999999999996
SNOTEL:730_WY_SNTL,Salt River Summit,2328.672119140625,42.50749969482422,-110.90989685058594,Wyoming,2022-11-05,0.9,Greater_Yellowstone,0.5,0.4
SNOTEL:751_WY_SNTL,Shell Creek,2919.98388671875,44.50011825561523,-107.4294662475586,Wyoming,2022-11-05,1.7,Greater_Yellowstone,1.1,0.5999999999999999
SNOTEL:754_MT_SNTL,Shower Falls,2468.8798828125,45.40124893188477,-110.95758056640624,Montana,2022-11-05,2.8,Greater_Yellowstone,2.0,0.7999999999999998
SNOTEL:764_WY_SNTL,Snake River Station,2109.216064453125,44.13360977172852,-110.6691665649414,Wyoming,2022-11-05,1.1,Greater_Yellowstone,0.6,0.5000000000000001
SNOTEL:779_WY_SNTL,Spring Creek Divide,2743.199951171875,42.52516174316406,-110.66148376464844,Wyoming,2022-11-05,1.0,Greater_Yellowstone,0.4,0.6
SNOTEL:786_WY_SNTL,St. Lawrence Alt,2627.3759765625,43.03313064575195,-109.17024993896484,Wyoming,2022-11-05,0.4,Greater_Yellowstone,0.0,0.4
SNOTEL:798_WY_SNTL,Sucker Creek,2706.6240234375,44.72249984741211,-107.40032958984376,Wyoming,2022-11-05,1.4,Greater_Yellowstone,0.8,0.5999999999999999
SNOTEL:806_WY_SNTL,Sylvan Lake,2566.416015625,44.477638244628906,-110.15650939941406,Wyoming,2022-11-05,1.6,Greater_Yellowstone,1.1,0.5
SNOTEL:816_WY_SNTL,Thumb Divide,2432.303955078125,44.36917114257813,-110.5771713256836,Wyoming,2022-11-05,1.7,Greater_Yellowstone,1.6,0.09999999999999987
SNOTEL:818_WY_SNTL,Tie Creek,2093.97607421875,44.81243133544922,-107.41017150878906,Wyoming,2022-11-05,0.6,Greater_Yellowstone,0.1,0.5
SNOTEL:819_WY_SNTL,Timber Creek,2423.159912109375,44.02740097045898,-109.17878723144533,Wyoming,2022-11-05,0.4,Greater_Yellowstone,0.2,0.2
SNOTEL:822_WY_SNTL,Togwotee Pass,2919.98388671875,43.749019622802734,-110.05780029296876,Wyoming,2022-11-05,1.8,Greater_Yellowstone,1.4,0.40000000000000013
SNOTEL:826_WY_SNTL,Townsend Creek,2651.760009765625,42.69525146484375,-108.89572143554688,Wyoming,2022-11-05,0.5,Greater_Yellowstone,0.2,0.3
SNOTEL:831_WY_SNTL,Triple Peak,2590.800048828125,42.76393127441406,-110.59140014648438,Wyoming,2022-11-05,1.3,Greater_Yellowstone,0.6,0.7000000000000001
SNOTEL:837_WY_SNTL,Two Ocean Plateau,2816.35205078125,44.15177917480469,-110.22122192382812,Wyoming,2022-11-05,4.1,Greater_Yellowstone,3.2,0.8999999999999995
SNOTEL:862_MT_SNTL,White Mill,2651.760009765625,45.04574966430664,-109.9098663330078,Montana,2022-11-05,2.6,Greater_Yellowstone,1.9,0.7000000000000002
SNOTEL:868_WY_SNTL,Willow Creek,2462.783935546875,42.815128326416016,-110.83515167236328,Wyoming,2022-11-05,2.5,Greater_Yellowstone,1.4,1.1
SNOTEL:878_WY_SNTL,Younts Peak,2545.080078125,43.9322509765625,-109.8177490234375,Wyoming,2022-11-05,1.6,Greater_Yellowstone,1.0,0.6000000000000001
SNOTEL:923_WY_SNTL,Deer Park,2956.56005859375,42.59075927734375,-108.9027328491211,Wyoming,2022-11-05,2.3,Greater_Yellowstone,1.9,0.3999999999999999
SNOTEL:981_MT_SNTL,Burnt Mtn,1792.2239990234375,45.2401008605957,-109.45960998535156,Montana,2022-11-05,0.0,Greater_Yellowstone,0.0,0.0
SNOTEL:1014_CO_SNTL,Middle Fork Camp,2724.912109375,39.79560089111328,-106.0272979736328,Colorado,2022-11-05,0.9,N_Co_Rockies,0.4,0.5
